,岗位名称,薪资待遇,岗位地区,公司福利,公司名称,岗位需要技能,salary1,学历要求,工作经验要求,福利数量,需求技能数量,公司类型,融资情况,公司人数
109,软件工程师,8.0,宁德,,岭阳电子,C，ARM开发，计算机相关专业，嵌入式/单片机开发经验,12,大专,1-3年,0,4,电子/半导体/集成电路,未知,20-99人
110,软件工程师,7.5,长沙,节日福利，年终奖，带薪年假，零食下午茶，五险一金,湖南军威,嵌入式技术,12,本科,1-3年,5,1,计算机软件,未融资,20-99人
111,软件工程师,12.5,肇庆,餐补，年终奖，定期体检，带薪年假，股票期权，包吃，五险一金，通讯补贴，员工旅游，节日福利,合普动力,matlab，simulink,12,本科,5-10年,10,2,汽车零部件,未融资,500-999人
112,软件工程师助理,5.5,常州,周年纪念奖励，团建聚餐，年终奖，员工旅游，零食下午茶，定期体检，五险一金，节日福利，带薪年假，通讯补贴，餐补，交通补助，有无线网,磐石电气,C++，C#，Java，C语言,12,大专,经验不限,13,4,智能硬件,不需要融资,20-99人
113,控制软件工程师,27.5,杭州,五险一金，节日福利，带薪年假，年终奖,径卫视觉,DSP开发经验,12,本科,5-10年,4,1,智能硬件,B轮,100-499人
114,Linux软件工程师,26.5,青岛,定期体检，节日福利，五险一金，免费班车，年终奖，员工旅游，带薪年假,伟达智慧科技,C++，Linux，软件工程师，网络协议，多线程,12,本科,经验不限,7,5,互联网,天使轮,100-499人
115,框架软件工程师,20.0,苏州,八险一金，年终奖，意外险，团建聚餐，定期体检，补充医疗保险，餐补，领导nice，零食下午茶，带薪年假，节日福利，员工旅游，五险一金,阿丘科技,C++，Winform，WPF，架构师，人工智能,14,本科,3-5年,13,5,企业服务,C轮,500-999人
116,软件工程师要求,10.5,武汉,住房补贴，员工旅游，团建聚餐，包住，节日福利，交通补助，五险一金，年终奖，有无线网，宿舍有空调，法定节假日三薪,匾福光电,C++,12,本科,经验不限,11,1,通信/网络设备,未融资,20-99人
117,软件工程师/Labview,9.5,深圳,五险一金，定期体检，带薪年假，餐补，节日福利,誉辰自动化,Labview,12,本科,经验不限,5,1,其他行业,未融资,1000-9999人
118,电气软件工程师,11.5,上海,,锦寻,PLC工程师，电控工程师,12,中专/中技,3-5年,0,2,机械设备/机电/重工,未知,0-20人
119,软件工程师,11.5,深圳,五险一金，股票期权,瀚索科技,C++，C语言，汇编语言，嵌入式技术，软件工程师,12,本科,5-10年,2,5,智能硬件,未融资,20-99人
120,软件工程师,10.0,沈阳,带薪年假，补充医疗保险，保底工资，包住，加班补助，定期体检，零食下午茶，五险一金，团建聚餐，夜班补助，餐补，免费工装，法定节假日三薪，节日福利，节假日加班费，提供住宿，包吃，高温补贴，绩效奖金，交通补助,沈阳微控,软件工程师,12,本科,3-5年,20,1,机械设备/机电/重工,未融资,20-99人
121,GPU底层软件工程师,20.0,西安,餐补，定期体检，高温假，节日福利，五险一金,凌久微,C/C++,13,本科,经验不限,5,1,电子/半导体/集成电路,未融资,100-499人
122,点胶软件工程师（深圳）,17.5,深圳,节日福利，五险一金，员工旅游，股票期权，带薪年假，零食下午茶，定期体检，年终奖,崧智智能,C#，C++，点胶，运动控制,13,本科,3-5年,8,4,机械设备/机电/重工,B轮,20-99人
123,软件工程师,18.0,南京,包住，节日福利，包吃，夜班补助，加班补助，意外险，团建聚餐，生日福利，宿舍有空调，免费班车，高温补贴，带薪年假，法定节假日三薪，五险一金，节假日加班费，绩效奖金，定期体检，免费工装，通讯补贴，年终奖,康尼新能源,C++，STM32开发，ARM开发，电气电气/自动化相关专业,14,本科,5-10年,20,4,汽车零部件,未融资,500-999人
124,.NET高级软件工程师,19.5,深圳,补充医疗保险，五险一金，定期体检，节日福利，带薪年假，通讯补贴，年终奖,凯睿德,C#，SQL，.NET，Angular，微服务架构，GIT，SQL Server,16,本科,5-10年,7,7,计算机软件,不需要融资,100-499人
125,软件工程师,16.0,深圳,五险一金，年终奖，节日福利，补充医疗保险，股票期权，带薪年假，员工旅游，定期体检,深蓝股份,单片机开发，嵌入式技术，嵌入式软件开发,13,本科,3-5年,8,3,电子/半导体/集成电路,已上市,100-499人
126,软件工程师,20.0,深圳,零食下午茶，员工旅游，五险一金，餐补，定期体检，节日福利,岍丞,C语言，C++,12,本科,3-5年,6,2,电子/半导体/集成电路,未融资,100-499人
127,软件工程师,12.5,上海,带薪年假，交通补助，加班补助，全勤奖，餐补，年终奖，五险一金，节日福利，住房补贴，定期体检,储融检测,C#，C++，Python，C#开发经验，.NET开发经验,13,本科,1-3年,10,5,检测/认证,不需要融资,100-499人
128,软件工程师,6.5,九江,,鄱湖之都,IOS，安全技术支持，Android,12,本科,1-3年,0,3,互联网,未知,20-99人
129,软件工程师,9.5,武汉,五险一金，年终奖，节日福利,湖北海震,.NET，.NET Core，MySQL/SQL Server/Oracle,12,大专,3-5年,3,3,电子/半导体/集成电路,未融资,20-99人
130,软件工程师,12.5,北京,,天工盈创,HTML，CSS，JavaScript，SQL，ES6，移动端,12,本科,3-5年,0,6,计算机软件,未知,0-20人
131,软件工程师,12.5,台州,五险，生日福利，节日福利，餐补,汇诚汇捷影像数码科技,多线程，架构师，Oracle，MySQL，SQL Server,12,大专,3-5年,4,5,机械设备/机电/重工,A轮,20-99人
132,C#软件工程师,22.5,深圳,餐补，年终奖，住房补贴，带薪年假，免费班车，五险一金，节日福利，股票期权,三一海洋重工,SQL，多线程，WPF，Oracle，软件工程师，架构师,16,本科,3-5年,8,6,机械设备/机电/重工,已上市,1000-9999人
133,C++软件工程师,10.5,武汉,加班补助，带薪年假，定期体检，全勤奖，节日福利，补充医疗保险，餐补，员工旅游，年终奖，五险一金,武汉瑞思信息,Socket技术，MFC，Oracle,14,本科,1-3年,10,3,计算机软件,未融资,100-499人
134,c++软件工程师,13.5,北京,通讯补贴，免费班车，定期体检，节日福利，餐补，带薪年假，年终奖，五险一金，交通补助,科东电力,C++，计算机相关专业,12,本科,1-3年,9,2,信息安全,不需要融资,1000-9999人
135,.NET软件工程师,8.5,青岛,带薪年假，节日福利，加班补助，节日福利，员工旅游，股票期权，五险一金,帕特智能,C#，网络协议，ASP.NET，WCF，Winform，Windows,12,学历不限,经验不限,7,6,计算机软件,未融资,20-99人
136,高级软件工程师,12.5,泉州,交通补助，保底工资，零食下午茶，住房补贴，团建聚餐，年终奖，全勤奖，节日福利，绩效奖金，补充医疗保险，有无线网，带薪年假，员工旅游，底薪加提成，生日福利，加班补助，高温补贴，工龄奖,冠武电子商务有限公司,爬虫，爬虫经验，数据开发，服务端开发经验,12,本科,1-3年,18,4,电子商务,未知,20-99人
137,软件工程师（.net）,9.5,威海,餐补，五险一金，员工旅游，加班补助，定期体检，节日福利，带薪年假，通讯补贴，年终奖,联亚软件,JavaScript，.NET，网络协议，SQL Server，Oracle，MySQL,13,大专,1-3年,9,6,计算机软件,不需要融资,100-499人
138,高级软件工程师,27.5,苏州,餐补，年终奖，加班补助，绩效奖金，生日福利，定期体检，带薪年假，节日福利，股票期权，零食下午茶，团建聚餐，五险一金，员工旅游，补充医疗保险,镁伽科技,C#，C#开发经验,12,本科,5-10年,14,2,智能硬件,C轮,500-999人
139,软件工程师（实习）,12.0,上海,五险一金，带薪年假，零食下午茶，年终奖，定期体检，节日福利，员工旅游，股票期权，绩效奖金,仙工,C++，Python，C++服务端开发经验，Qt项目开发经验,12,硕士,经验不限,9,4,计算机软件,B轮,100-499人
140,软件工程师.net,10.5,沈阳,五险一金，加班补助，年终奖，免费班车，带薪年假，节日福利，餐补,创奇游乐,C#，SQL，HTML，MVC开发，网络协议，Socket技术,12,大专,3-5年,7,6,企业服务,未融资,100-499人
141,助理软件工程师,5.5,中山,零食下午茶，五险一金，员工旅游，包吃，节日福利，带薪年假，生日礼品，年终奖,迅科达,测试,12,本科,经验不限,8,1,仪器仪表/工业自动化,B轮,100-499人
142,C++软件工程师,12.5,南京,年终奖，定期体检，五险一金，加班补助，住宿，带薪年假，节日福利，全勤奖,科进实业,C++，MFC，access，vs2015,12,本科,1-3年,8,4,医疗健康,未融资,100-499人
143,工业互联网高级软件工程师,22.5,北京,,创联科技,系统架构，高级技术管理,12,本科,5-10年,0,2,互联网,A轮,20-99人
144,Linux系统软件工程师,27.5,深圳,五险一金，年终奖，股票期权，定期体检，带薪年假，节日福利,Syrius炬星,C++，Java，Shell，linux，机器人，人工智能，智能硬件,12,本科,5-10年,6,7,智能硬件,B轮,100-499人
145,高级软件工程师,16.5,成都,包吃，补充医疗保险，带薪年假，定期体检，年终奖，加班补助，节日福利，五险一金，全勤奖，餐补,国润通,C++服务端开发经验，C++，C语言,12,本科,3-5年,10,3,机械设备/机电/重工,未融资,20-99人
146,软件工程师（北京）,10.5,北京,餐补，员工旅游，全勤奖，带薪年假，定期体检，五险一金,华清瑞达,C++,12,本科,经验不限,6,1,电子/半导体/集成电路,未融资,100-499人
147,高级软件工程师,22.5,合肥,五险一金，年终奖，带薪年假，餐补，节日福利,江苏绿阳,C，DSP开发，ARM开发，电气电气/自动化相关专业,13,本科,3-5年,5,4,新能源,不需要融资,100-499人
148,软件工程师.net,9.0,福州,,福清卓越信息科技...,.Net core，Angular 6，UWP,12,本科,3-5年,0,3,计算机软件,不需要融资,20-99人
149,资深软件工程师,22.5,上海,零食下午茶，节日福利，股票期权，带薪病假，带薪年假，团建聚餐，加班补助，五险一金，员工旅游，绩效奖金，试用期不打折,速石科技,Go，数据结构，容器技术，GIT,12,本科,3-5年,11,4,企业服务,B轮,20-99人
150,软件工程师-UI和系统功能设计,25.0,深圳,五险一金，加班补助，交通补助，年终奖，员工旅游，带薪年假，节日福利,唯特医疗,医疗设备软件，C++，C，UI，Linlux，嵌入式/单片机开发经验,13,本科,1-3年,7,6,医疗设备/器械,未融资,0-20人
151,高级软件工程师（无锡） (MJ000020),32.5,无锡,五险一金，住房补贴，股票期权，加班补助，节日福利，定期体检，带薪年假，餐补，年终奖，员工旅游,三晶电气,C，DSP开发经验，控制算法，光伏逆变器，户用储能机,16,本科,5-10年,10,5,智能硬件,不需要融资,1000-9999人
152,微服务工程师/架构师,20.0,南京,高温假，补充医疗保险，团建活动，加长春节假期，年终奖，加班补助，餐补，交通补助，定期体检，节日福利，员工旅游，带薪年假，五险一金，文体活动,中国电科28所,Dubbo，微服务，RPC，分布式技术,13,硕士,3-5年,14,4,计算机软件,不需要融资,1000-9999人
153,软件架构工程师,19.0,南京,补充医疗保险，通讯补贴，加班补助，五险一金，节日福利，年终奖，定期体检，交通补助，餐补，带薪年假,创博,.NET，C/C++，Java,12,本科,5-10年,10,3,通信/网络设备,不需要融资,20-99人
154,研发工程师,17.5,北京,,北京丸善医疗,后端工程师，Java，Spring,12,本科,3-5年,0,3,计算机软件,未知,100-499人
155,java研发工程师,8.0,成都,零食下午茶，底薪加提成，定期体检，团建聚餐，生日福利，包吃，年终奖，保底工资，意外险，餐补，绩效奖金，节日福利，住房补贴，五险一金，员工旅游，带薪年假，股票期权,四方伟业,后端工程师，Java，Spring，MySQL，Java开发经验,12,本科,经验不限,17,5,计算机软件,不需要融资,500-999人
156,Java高级研发工程师,25.0,北京,带薪年假，年终奖，不定期培训，补充医疗保险，定期体检，商业保险，五险一金，餐补，节日福利，全勤奖，购房福利,好未来,分布式技术，服务器配置，Dubbo，SpringBoot，Redis,14,本科,3-5年,11,5,互联网,已上市,10000人以上
157,高级JAVA研发工程师,22.5,杭州,员工旅游，五险一金，年终奖，加班补助，餐补，定期体检，补充医疗保险，股票期权，企业年金，疗休养，节日福利，带薪年假,浙江高速信息,Java，Linux,15,本科,经验不限,12,2,计算机软件,不需要融资,500-999人
158,研发工程师（JAVA),18.0,南京,五险一金，员工旅游，定期体检，年终奖，节日福利，带薪年假，餐补，补充医疗保险，住房补贴，股票期权，交通补助，零食下午茶,百家云,SQL，分布式技术，数据结构，网络编程，Spring，Redis,13,本科,5-10年,12,6,计算机软件,已上市,500-999人
159,JAVA研发工程师,15.0,广州,免费班车，零食下午茶，定期体检，五险一金，带薪年假，通讯补贴，包吃，餐补，年终奖,科诺勘测工程,微服务架构，负载均衡技术，Spring，SpringCloud，MySQL,15,本科,1-3年,9,5,电力/热力/燃气/水利,不需要融资,未知
160,java、vue全栈研发工程师,12.5,上海,年终奖，带薪年假，五险一金，餐补，员工旅游，通讯补贴，定期体检，交通补助,上海数飒科技有限公司,全栈工程师，Java,12,大专,3-5年,8,2,计算机软件,未融资,20-99人
161,Java开发工程师,14.5,宁波,五险一金，加班补助，定期体检，节日福利，带薪年假，员工旅游，股票期权，年终奖,宁帆信息,团队管理经验，大数据处理经验，spring cloud，架构师,13,本科,3-5年,8,4,医疗健康,未融资,100-499人
162,Java开发工程师,9.5,武汉,团建聚餐，底薪加提成，绩效奖金,开运数科,SQL，微服务架构，负载均衡技术，文件管理系统,13,本科,1-3年,3,4,交通/运输,天使轮,20-99人
163,Java开发工程师,20.0,杭州,年终奖，五险一金，带薪年假，补充医疗保险，节日福利，餐补，定期体检,杭州城市大脑,SQL，微服务架构，负载均衡技术，分布式技术，多线程,15,本科,3-5年,7,5,数据服务,不需要融资,100-499人
164,Java开发工程师,8.5,上海,五险一金，员工旅游，定期体检，年终奖，餐补,上海迅筑RPT,软件工程师，初级软件工程师，Linux，后端开发,12,本科,1-3年,5,4,计算机软件,未融资,20-99人
165,急聘Java中/高级开发工程师+双休,9.5,成都,五险一金,四川三维,Java，Java开发经验，团队管理经验，全栈工程师,12,大专,1-3年,1,4,计算机软件,未融资,100-499人
166,架构师,30.0,杭州,年终奖，股票期权，带薪年假，员工旅游，餐补，节日福利，五险一金，零食下午茶，补充医疗保险，定期体检,共道科技,Java，中间件，系统架构,12,本科,5-10年,10,3,互联网,不需要融资,100-499人
167,高级java开发工程师、技术专家,30.0,杭州,零食下午茶，五险一金，节日福利，股票期权，员工旅游，补充医疗保险，年终奖，餐补，交通补助，免费班车,阿里巴巴集团,MySQL，Java，Spring，Dubbo，Mybatis，后端开发,16,本科,3-5年,10,6,互联网,已上市,10000人以上
168,JAVA开发工程师,8.5,金华,高温补贴，有无线网，意外险，餐补，宿舍有空调，工龄奖，绩效奖金，定期体检，通讯补贴，交通补助，五险一金，全勤奖，年终奖，住房补贴,横店集团东磁股份...,Java，MySQL，Java开发经验,14,本科,经验不限,14,3,新能源,已上市,10000人以上
169,JAVA开发工程师,10.0,南京,五险一金，定期体检，加班补助，通讯补贴，零食下午茶，带薪年假，住房补贴，交通补助，年终奖，节日福利，免费班车，补充医疗保险，股票期权，员工旅游,华为终端有限公司,容器技术，Spring，MySQL，Java，后端,12,本科,经验不限,14,5,通信/网络设备,不需要融资,10000人以上
170,java架构师,22.5,杭州,五险一金，员工旅游，股票期权，餐补，包吃，节日福利，交通补助，年终奖，带薪年假,豪波安全科技,Spring，Java，MyBatis，团队管理经验，CAP，Dubbo,12,大专,3-5年,9,6,计算机软件,不需要融资,100-499人
171,JAVA开发工程师,22.5,上海,免费班车，节假日加班费，法定节假日三薪，员工旅游，带薪年假，五险一金，股票期权，定期体检，加班补助，生日福利，节日福利，年终奖,红星美凯龙,SQL，Spring，架构师，SpringCloud，SpringBoot,12,大专,3-5年,12,5,批发/零售,已上市,10000人以上
172,Java开发工程师,22.5,武汉,年终奖，补充医疗保险，定期体检，交通补助，包吃，股票期权，带薪年假，餐补，员工旅游，节日福利，五险一金，零食下午茶，免费班车,京东集团,分布式技术，微服务架构，负载均衡技术，SpringBoot,13,本科,3-5年,13,4,电子商务,已上市,10000人以上
173,Java开发工程师,14.5,成都,全勤奖，生日福利，带薪年假，团建聚餐，年终奖，高温补贴，底薪加提成，补充医疗保险，工龄奖，绩效奖金，意外险，交通补助，有无线网，员工旅游，保底工资，五险一金，定期体检，节日福利，通讯补贴，住房补贴,艾德汇联,微服务架构，服务器配置，分布式技术，数据结构，多线程,12,本科,3-5年,20,5,运营商/增值服务,未知,20-99人
174,JAVA开发工程师,11.5,上海,,上海钛云,SQL，CSS，服务器配置，微服务架构，Spring，SpringMVC,13,本科,1-3年,0,6,移动互联网,未知,20-99人
175,Java开发工程师,7.0,廊坊,,北京慧远云程科技,后端工程师，Java，Spring，JavaScript,12,本科,3-5年,0,4,计算机软件,未知,20-99人
176,Java开发工程师,21.5,上海,,三稻智能,Java,12,本科,5-10年,0,1,互联网,未融资,20-99人
177,JAVA开发工程师,20.0,上海,五险一金，餐补，调薪机会，全额公积金，带薪年假,浩霖汇,分布式技术，微服务架构，熟悉版本工具 svn,12,本科,3-5年,5,3,计算机软件,天使轮,20-99人
178,Java开发工程师,23.5,杭州,餐补，五险一金，带薪年假，节日福利，股票期权，定期体检，年终奖,信雅达科技股份,Java，不接受居家办公，oracle，银行,12,本科,5-10年,7,4,计算机软件,已上市,1000-9999人
179,开发工程师,7.5,兰州,,至简数字,后端开发，Java，Python,12,大专,1-3年,0,3,计算机服务,未融资,0-20人
180,java开发工程师,8.0,武汉,加班补助，带薪年假，餐补，零食下午茶,火焱鸟,Java,12,大专,3-5年,4,1,计算机软件,未知,0-20人
181,Java开发工程师,12.5,北京,,易伟航,Java，后端开发，Linux,12,本科,1-3年,0,3,计算机软件,未融资,20-99人
182,Java开发工程师,14.0,武汉,五险一金，定期体检，全勤奖，年终奖，带薪年假，员工旅游,深圳优联合创智慧科技,MVC开发，Spring，MySQL，后端开发,13,本科,3-5年,6,4,计算机服务,A轮,20-99人
183,Java中级开发工程师,13.5,深圳,五险一金，零食下午茶，节日福利，绩效奖金，带薪年假，餐补，补充医疗保险，团建聚餐，员工旅游,迪聚海思,SQL，多线程，数据结构，SpringBoot，SSM，Oracle,12,本科,1-3年,9,6,计算机软件,A轮,100-499人
184,Java开发工程师,15.5,成都,,钛马启德,微服务架构,12,本科,3-5年,0,1,计算机软件,未知,20-99人
185,java开发工程师,27.5,深圳,零食下午茶，补充医疗保险，通讯补贴，全勤奖，年终奖，定期体检，员工旅游，餐补，带薪年假，免费班车，五险一金，节日福利，交通补助,微众银行,后端工程师，Java，Spring，MyBatis，Java开发经验,12,本科,5-10年,13,5,互联网金融,不需要融资,1000-9999人
186,Java开发工程师,11.5,南京,企业年金，工龄奖，加班补助，年终奖，通讯补贴，定期体检，夜班补助，保底工资，生日福利，带薪年假，法定节假日三薪，底薪加提成，交通补助，意外险，节假日加班费，股票期权，五险一金，全勤奖，节日福利，补充医疗保险,涌亿思,Java开发经验，Java，MySQL，MyBatis，Spring,13,大专,1-3年,20,5,移动互联网,不需要融资,20-99人
187,Java开发工程师,10.0,武汉,五险一金，定期体检,微视互动,Java，JavaScript，SQL，HTML，CSS,12,本科,3-5年,2,5,广告营销,天使轮,20-99人
188,高级后台开发工程师,20.5,深圳,股票期权，带薪年假，零食下午茶，团建聚餐，年终奖，五险一金,静康医疗,Java，MySQL，Redis,12,本科,5-10年,6,3,医疗设备/器械,未融资,20-99人
189,高级java开发工程师,22.5,杭州,年终奖，餐补，股票期权，免费班车，员工旅游，五险一金，零食下午茶，补充医疗保险，节日福利，交通补助,阿里巴巴集团,Java，系统架构，中间件,12,本科,3-5年,10,3,互联网,已上市,10000人以上
190,中级java开发工程师,20.0,北京,带薪年假，加班补助，定期体检，餐补，五险一金，住房补贴，交通补助,博英科技,Java开发经验，Java，团队管理经验，分布式系统开发经验,12,本科,3-5年,7,4,计算机软件,未融资,100-499人
191,高级Java开发工程师,65.0,合肥,带薪年假，补充医疗保险，股票期权，定期体检，年终奖，加班补助，通讯补贴，五险一金,NIO蔚来,Java,12,本科,3-5年,8,1,汽车生产,已上市,10000人以上
192,Java高级开发工程师,30.0,北京,定期体检，五险一金，节日福利，股票期权，绩效奖金，带薪年假，补充医疗保险，生日福利，工作日午餐，团建聚餐，免费工装，零食下午茶，交通补助,蓝晶微生物,高级软件工程师，SpringBoot，Redis，容器技术,14,本科,5-10年,13,4,环保,B轮,100-499人
193,java开发工程师,16.5,苏州,,瑞方技术,后端工程师，Java，Spring，Java开发经验，测试报告,13,本科,5-10年,0,5,计算机软件,未知,20-99人
194,java开发工程师,20.0,广州,餐补，年终奖，节日福利，零食下午茶，绩效奖金，股票期权，五险一金，员工旅游，团建聚餐，带薪年假,广州乐药,Java，Spring，JavaScript,13,本科,1-3年,10,3,电子商务,D轮及以上,10000人以上
195,高级java开发工程师,25.5,上海,年终奖，带薪年假，补充医疗保险，节日福利，五险一金，交通补助，定期体检，餐补，免费班车,Cognizant,后端工程师，Java，Spring，MySQL,13,本科,5-10年,9,4,计算机软件,已上市,1000-9999人
196,高级Java开发工程师,12.5,上海,带薪年假，年终奖，五险一金，绩效奖金,优方科技,Java，Eclipse，SpringCloud，Redis，Spring，后端工程师,12,本科,3-5年,4,6,计算机软件,未融资,20-99人
197,Java开发工程师(高级),10.0,连云港,节日福利，员工旅游，带薪年假，年终奖，定期体检，五险一金,迅成信息,高级软件工程师，企业级应用开发,12,本科,5-10年,6,2,计算机软件,未融资,0-20人
198,MES设计开发工程师,15.5,无锡,节日福利，股票期权，带薪年假，五险一金，员工旅游，零食下午茶，餐补，年终奖，定期体检，加班补助,苏州珂阳,智能制造，FAB制造，半导体，泛半导体，面板，MES设计,13,本科,1-3年,10,6,电子/半导体/集成电路,A轮,100-499人
199,高级Java开发工程师,17.5,深圳,带薪年假，项目奖金，加班补助，交通补助，包吃，五险一金，节日福利,航天广通,服务器配置，消息队列，PostgreSQL，MySQL,12,大专,5-10年,7,4,计算机软件,未融资,100-499人
200,Java后端开发工程师,17.5,长沙,股票期权，员工旅游，交通补助，年终奖，带薪年假，五险一金,展视网,SQL，CSS，微服务架构，Spring，MySQL，分布式技术,12,本科,5-10年,6,6,音乐/视频/阅读,A轮,100-499人
201,Java开发工程师（上海2）,32.5,上海,五险一金，年终奖，节日福利，生日福利，员工旅游，零食下午茶，加班补助，团建聚餐，定期体检，带薪年假，股票期权,晟合坤,容器技术，后端开发，Spring，Oracle,13,本科,3-5年,11,4,互联网金融,B轮,100-499人
202,Java中高级开发工程师,21.5,武汉,节日福利，年终奖，交通补助，餐补，定期体检，五险一金，加班补助，带薪年假，通讯补贴,上海电气数智,SQL，微服务架构，搜索引擎技术，分布式技术，多线程,12,本科,3-5年,9,5,环保,未融资,20-99人
203,JAVA高级开发工程师,50.0,北京,五险一金，通讯补贴，带薪年假，定期体检，企业年金，节日福利，底薪加提成，绩效奖金，交通补助，生日福利，年终奖，免费工装，餐补,银河证券,Java，MySQL，Redis,12,硕士,5-10年,13,3,互联网金融,已上市,1000-9999人
204,Java资深开发工程师,35.0,北京,带薪年假，股票期权，年终奖，五险一金,新橙智慧,MVC开发，服务器配置，容器技术，分布式技术，多线程,12,本科,5-10年,4,5,计算机服务,未融资,20-99人
205,java开发工程师,10.5,厦门,零食下午茶，带薪年假，节假日加班费，年终奖，五险一金,星知付,后端工程师，Java，Java开发经验，计算机/软件工程相关经验,12,本科,3-5年,5,4,计算机软件,未融资,0-20人
206,Java开发工程师,8.5,襄阳,,湖北诚佰网络科技,全栈工程师，Java，MySQL，SpringMVC，SQL Server,14,大专,3-5年,0,5,计算机软件,未知,20-99人
207,开发工程师,17.5,昆明,补充医疗保险，年终奖，餐补，节日福利，婚丧补贴，员工旅游，加班补助，带薪年假，通讯补贴，定期体检，零食下午茶，五险一金，生日福利，工龄奖,银星科技,HTML，CSS，微服务架构，消息队列，Spring，Redis,13,大专,3-5年,14,6,通信/网络设备,未融资,20-99人
208,Java开发工程师【深圳】,12.5,深圳,五险一金，股票期权，员工旅游，年终奖，加班补助,浩丰源,SpringBoot，Spring，Redis，SpringCloud，MySQL,13,本科,3-5年,5,5,计算机软件,天使轮,20-99人
209,后端开发工程师,15.0,杭州,年终奖，定期体检，生日福利，有无线网，通讯补贴，交通补助，团建聚餐，节日福利，餐补，五险一金，带薪年假，零食下午茶，员工旅游，加班补助，股票期权，全勤奖，节假日加班费,浙大网新,Java，Spring，MySQL,13,本科,1-3年,17,3,计算机软件,已上市,1000-9999人
210,Java开发工程师（运维方向）,10.5,武汉,带薪年假，餐补，年终奖，交通补助，补充医疗保险，五险一金，定期体检，通讯补贴,智行国际,SQL，HTML，CSS，容器技术，Struts，SpringCloud,12,本科,1-3年,8,6,计算机软件,未融资,100-499人
211,开发工程师,7.5,西安,,慧谷通用,SQL，网络协议，Spring，Hibernate，Struts，Oracle,12,本科,1-3年,0,6,计算机软件,未知,100-499人
212,后端开发工程师,14.0,成都,年终奖，定期体检，节日福利，通讯补贴，餐补，带薪年假，零食下午茶，五险一金，交通补助,蜀天梦图,容器技术，分布式技术，Linux，Spring，SpringBoot,14,本科,1-3年,9,5,数据服务,未融资,20-99人
213,Java开发工程师,20.0,上海,,二三四五金融科技,Java,12,本科,3-5年,0,1,互联网金融,未知,500-999人
214,java初级开发工程师,5.0,青岛,五险一金，带薪年假，免费班车，加班补助，年终奖，定期体检，节日福利,正维科技,后端工程师，Java，Spring，MySQL，Java开发经验,12,学历不限,经验不限,7,5,互联网,不需要融资,20-99人
